NazwaInstytucji,SymbolLiterowy
Częstochowski Bank Spółdzielczy JURA BANK,BS8260
Bank Spółdzielczy w Pajęcznie,BS8265
Bank Spółdzielczy w Konopiskach,BS8273
Bank Spółdzielczy w Szczekocinach,BS8277
Międzypowiatowy Bank Spółdzielczy w  Myszkowie,BS8279
Powiślański Bank Spółdzielczy w Kwidzynie,BS8300
Bank Spółdzielczy w Malborku,BS8303
Żuławski Bank Spółdzielczy,BS8306
Bank Spółdzielczy w Stegnie,BS8308
Bank Spółdzielczy w Sztumie,BS8309
Bank Spółdzielczy w Dzierzgoniu,BS8310
Braniewsko - Pasłęcki Bank Spółdzielczy z siedzibą w Pasłęku,BS8313
Bank Spółdzielczy w Prabutach,BS8319
Bank Spółdzielczy w Suszu,BS8320
Bank Spółdzielczy w Sierakowicach,BS8324
Bank Spółdzielczy w Kościerzynie,BS8328
Bank Spółdzielczy w Pruszczu Gdańskim,BS8335
Bank Spółdzielczy w Pszczółkach,BS8337
Bank Spółdzielczy w Starogardzie Gdańskim,BS8340
Bank Spółdzielczy w Skórczu,BS8342
Bank Spółdzielczy w Tczewie,BS8345
Bank Spółdzielczy w Gniewie,BS8346
Bank Spółdzielczy w Pucku,BS8348
Bank Spółdzielczy w Krokowej,BS8349
Kaszubski Bank Spółdzielczy,BS8350
Zjednoczony Bank Spółdzielczy,BS8351
Gospodarczy Bank Spółdzielczy w Barlinku,BS8355
Zachodniopomorski Bank Spółdzielczy,BS8359
Lubusko-Wielkopolski Bank Spółdzielczy,BS8362
Gospodarczy Bank Spółdzielczy w Gorzowie Wielkopolskim,BS8363
Lubuski Bank Spółdzielczy,BS8367
Bank Spółdzielczy w Ośnie Lubuskim,BS8369
Bank Spółdzielczy w Rzepinie,BS8371
Bank Spółdzielczy w Pieńsku,BS8382
Bank Spółdzielczy Lwówek Śląski w Lwówku Śląskim,BS8384
Łużycki Bank Spółdzielczy w Lubaniu,BS8392
Bank Spółdzielczy w Kamiennej Górze,BS8395
Bank Spółdzielczy Ziemi Kaliskiej,BS8404
Bank Spółdzielczy w Pleszewie,BS8407
Bank Spółdzielczy w Dobrzycy,BS8409
Bank Spółdzielczy w Krotoszynie,BS8410
Spółdzielczy Bank Ludowy w Kępnie,BS8413
Bank Spółdzielczy w Jarocinie,BS8427
Bank Spółdzielczy w Raszkowie,BS8430
Spółdzielczy Bank Ludowy w Skalmierzycach,BS8431
Bank Spółdzielczy w Tychach,BS8435
Mikołowski Bank Spółdzielczy w Mikołowie,BS8436
Śląski Bank Spółdzielczy Silesia w Katowicach,BS8437
Bank Spółdzielczy w Będzinie,BS8438
Bank Spółdzielczy w Chrzanowie,BS8444
Bank Spółdzielczy w Jaworznie,BS8445
Bank Spółdzielczy w Miedźnej,BS8446
Bank Spółdzielczy w Pawłowicach,BS8447
Bank Spółdzielczy w Pszczynie,BS8448
Bank Spółdzielczy w Olkuszu w likwidacji,BS8449
Bank Spółdzielczy w Wolbromiu,BS8450
Bank Spółdzielczy Czechowice-Dziedzice-Bestwina,BS8453
